,date,headlines,ticker,company
327,Buy PVR; target of Rs 2096: Prabhudas Lilladher,"Prabhudas Lilladher is bullish on PVR has recommended buy rating on the stock with a target price of Rs 2096 in its research report dated March 14, 2023.",PVR,PVR Limited
328,Buy KNR Constructions; target of Rs 310: Sharekhan,"Sharekhan is bullish on KNR Constructions has recommended buy rating on the stock with a target price of Rs 310 in its research report dated February 10, 2023.",KNRCON,KNR Constructions Limited
329,Buy Torrent Pharmaceuticals; target of Rs 1788: Sharekhan,"Sharekhan is bullish on Torrent Pharmaceuticals has recommended buy rating on the stock with a target price of Rs 1788 in its research report dated March 16, 2023.",TORNTPHARM,Torrent Pharmaceuticals Limited
331,"Hot Stocks | Action Construction Equipment, JK Lakshmi Cement, Shivalik Bimetal Controls can return 11-15% in short term, here#39;s why",The ratio charts of JK Lakshmi Cement against benchmark Index Nifty is rising which illustrates the clear outperformance of the stock.,ANDHRSUGAR,The Andhra Sugars Limited
332,"Buy Abbott India; target of Rs 25,243: Sharekhan","Sharekhan is bullish on Abbott India has recommended buy rating on the stock with a target price of Rs 25,243 in its research report dated February 10, 2023.",ABBOTINDIA,Abbott India Limited
333,Buy Axis Bank; target of Rs 1130: Motilal Oswal,"Motilal Oswal is bullish on Axis Bank recommended buy rating on the stock with a target price of Rs 1130 in its research report dated March 01, 2023.",AXISBANK,Axis Bank Limited
334,Buy Thermax; target of Rs 2790: Sharekhan,"Sharekhan is bullish on Thermax has recommended buy rating on the stock with a target price of Rs 2790 in its research report dated February 13, 2023.",THERMAX,Thermax Limited
335,Buy Federal Bank; target of Rs 165: ICICI Direct,"ICICI Direct is bullish on Federal Bank recommended buy rating on the stock with a target price of Rs 165 in its research report dated March 02, 2023.",BANKBARODA,Bank of Baroda
336,Buy KSB; target of Rs 2390: ICICI Direct,"ICICI Direct is bullish on KSB recommended buy rating on the stock with a target price of Rs 2390 in its research report dated March 01, 2023.",ICICIBANK,ICICI Bank Limited
337,Buy NMDC; target of Rs 145: Sharekhan,"Sharekhan is bullish on NMDC has recommended buy rating on the stock with a target price of Rs 145 in its research report dated February 15, 2023.",NMDC,NMDC Limited
338,Buy Supreme Industries; target of Rs 3000: Sharekhan,"Sharekhan is bullish on Supreme Industries has recommended buy rating on the stock with a target price of Rs 3000 in its research report dated March 21, 2023.",SUPREMEIND,Supreme Industries Limited
339,Women#39;s Day Special | Woman experts on Dalal Street line up top 12 trading ideas,Oberoi Realty seems to be breaking out from a bullish Inverse Head and Shoulders pattern which emerged following a corrective move. The stock has crossed above the 200-DMA (daily moving average) which stands at Rs 876 and this DMA was almost acting as a proxy…,ANDHRSUGAR,The Andhra Sugars Limited
340,"Trade Spotlight | Your strategy for Cyient, GE Shipping, Aurobindo Pharma today",Great Eastern Shipping Company shares rose nearly 4 percent to Rs 624 and formed long bullish candlestick pattern on the daily timeframe with above average volumes.,EASTSILK,Eastern Silk Industries Limited
342,Bajaj Electricals shares gain on bagging order worth Rs 564 crore,"The company#39;s engineering and procurement segment had an order book of approximately Rs 1,200 crore in Q3.",ANDHRSUGAR,The Andhra Sugars Limited
343,Buy Punjab National Bank; target of Rs 64: Sharekhan,"Sharekhan is bullish on Punjab National Bank has recommended buy rating on the stock with a target price of Rs 64 in its research report dated March 09, 2023.",BANKBARODA,Bank of Baroda
344,HAL tanks 6% as govt sets OFS floor price at 7% discount,"The stake sale would be valued at Rs 2,867 crore, and the government has set a floor price of Rs 2,450 apiece, which is at a 6.6 percent discount from the previous close.",ANDHRSUGAR,The Andhra Sugars Limited
345,"Trade Spotlight | JSW Energy, JBM Auto, Zensar Technologies: Your game plan for today","JSW Energy surged nearly 13 percent to Rs 235, the highest closing level since February 9, and formed large bullish candle on the daily charts, with strong volumes after taking support at Rs 205 in previous session.",ENERGYDEV,Energy Development Company Limited
346,"Trade Spotlight | How should you trade in EIH, Mahindra CIE Automotive, NMDC today?","NMDC has also formed bullish candle with long upper shadow on the daily scale, indicating a bit of profit booking at higher levels. The stock closed with 1.7 percent gains at Rs 116.4, with above average volumes. It has been making higher highs higher lows fo…",ANDHRSUGAR,The Andhra Sugars Limited
347,"Trade Spotlight | Set your game for Jindal Stainless, Swan Energy, Mahanagar Gas today","Mahanagar Gas was the star performer, rising nearly 9 percent to Rs 986 and formed robust bullish candle on the daily charts with significantly higher volumes. The stock has been making higher highs higher lows formation for fifth consecutive session, with tr…",ANDHRSUGAR,The Andhra Sugars Limited
348,Buy Federal Bank; target of Rs 170: Motilal Oswal,"Motilal Oswal is bullish on Federal Bank recommended buy rating on the stock with a target price of Rs 170 in its research report dated February 28, 2023.",BANKBARODA,Bank of Baroda
349,Buy Aurobindo Pharma; target of Rs 554: Geojit,"Geojit is bullish on Aurobindo Pharma has recommended buy rating on the stock with a target price of Rs 554 in its research report dated March 02, 2023.",AUROPHARMA,Aurobindo Pharma Limited
350,Buy Finolex Cables; target of Rs 660: Sharekhan,"Sharekhan is bullish on Finolex Cables has recommended buy rating on the stock with a target price of Rs 660 in its research report dated February 13, 2023.",FINCABLES,Finolex Cables Limited
351,Buy Tata Motors; target of Rs 540: Motilal Oswal,"Motilal Oswal is bullish on Tata Motors recommended buy rating on the stock with a target price of Rs 540 in its research report dated March 15, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
352,Buy PNC Infratech; target of Rs 390: Sharekhan,"Sharekhan is bullish on PNC Infratech has recommended buy rating on the stock with a target price of Rs 390 in its research report dated March 10, 2023.",PNCINFRA,PNC Infratech Limited
353,Buy Eicher Motors; target of Rs 3625: Motilal Oswal,"Motilal Oswal is bullish on Eicher Motors recommended buy rating on the stock with a target price of Rs 3625 in its research report dated March 23, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
354,Buy Vinati organics; target of Rs 2148: Geojit,"Geojit is bullish on Vinati organics has recommended buy rating on the stock with a target price of Rs 2148 in its research report dated March 22, 2023.",GEOJITFSL,Geojit Financial Services Limited
355,Buy Bata India; target of Rs 1775: Sharekhan,"Sharekhan is bullish on Bata India has recommended buy rating on the stock with a target price of Rs 1775 in its research report dated February 15, 2023.",BATAINDIA,Bata India Limited
356,Buy NOCIL; target of Rs 275: Sharekhan,"Sharekhan is bullish on NOCIL has recommended buy rating on the stock with a target price of Rs 275 in its research report dated February 10, 2023.",NOCIL,NOCIL Limited
357,Buy Grasim Industries; target of Rs 1900: Sharekhan,"Sharekhan is bullish on Grasim Industries has recommended buy rating on the stock with a target price of Rs 1900 in its research report dated March 08, 2023.",GRASIM,Grasim Industries Limited
358,Buy Cipla; target of Rs 1070: Prabhudas Lilladher,"Prabhudas Lilladher is bullish on Cipla has recommended buy rating on the stock with a target price of Rs 1070 in its research report dated March 01, 2023.",CIPLA,Cipla Limited
359,Buy Federal Bank; target of Rs 170: Sharekhan,"Sharekhan is bullish on Federal Bank has recommended buy rating on the stock with a target price of Rs 170 in its research report dated February 28, 2023.",BANKBARODA,Bank of Baroda
360,Buy Alicon Castalloy; target of Rs 1159: Sharekhan,"Sharekhan is bullish on Alicon Castalloy has recommended buy rating on the stock with a target price of Rs 1159 in its research report dated February 13, 2023.",ALICON,Alicon Castalloy Limited
361,Buy Godrej Consumer; target of Rs 1080: Motilal Oswal,"Motilal Oswal is bullish on Godrej Consumer recommended buy rating on the stock with a target price of Rs 1080 in its research report dated March 03, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
362,Buy LT Foods; target of Rs 120: Geojit,"Geojit is bullish on LT Foods has recommended buy rating on the stock with a target price of Rs 120 in its research report dated March 21, 2023.",DAAWAT,LT Foods Limited
363,Buy Thermax; target of Rs 2790: Sharekhan,"Sharekhan is bullish on Thermax has recommended buy rating on the stock with a target price of Rs 2790 in its research report dated March 20, 2023.",THERMAX,Thermax Limited
364,Buy TTK Prestige; target of Rs 857: Geojit,"Geojit is bullish on TTK Prestige has recommended buy rating on the stock with a target price of Rs 857 in its research report dated March 22, 2023.",GEOJITFSL,Geojit Financial Services Limited
365,"Kalyan Jewellers sheds most in 13 weeks after block deal, but analysts see glittering returns","As per Bloomberg, the company has 6 buy calls, zero hold and zero sell calls. The 12-month consensus target price on the stock is Rs 156.50",ANDHRSUGAR,The Andhra Sugars Limited
366,Buy GAIL; target of Rs 147: Motilal Oswal,"Motilal Oswal is bullish on GAIL recommended buy rating on the stock with a target price of Rs 147 in its research report dated March 22, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
367,Buy GAIL; target of Rs 147: Motilal Oswal,"Motilal Oswal is bullish on GAIL recommended buy rating on the stock with a target price of Rs 147 in its research report dated March 26, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
370,Buy Tata Chemicals; target of Rs 1197: Geojit,"Geojit is bullish on Tata Chemicals has recommended buy rating on the stock with a target price of Rs 1197 in its research report dated March 06, 2023.",GEOJITFSL,Geojit Financial Services Limited
371,Buy Vesuvius India; target of Rs 1935: ICICI Direct,"ICICI Direct is bullish on Vesuvius India recommended buy rating on the stock with a target price of Rs 1935 in its research report dated March 01, 2023.",ICICIBANK,ICICI Bank Limited
372,Buy Axis Bank; target of Rs 1100: ICICI Direct,"ICICI Direct is bullish on Axis Bank recommended buy rating on the stock with a target price of Rs 1100 in its research report dated March 02, 2023.",AXISBANK,Axis Bank Limited
373,"Buy Bosch; target of Rs 20,970: ICICI Direct","ICICI Direct is bullish on Bosch recommended buy rating on the stock with a target price of Rs 20,970 in its research report dated March 13, 2023.",BOSCHLTD,Bosch Limited
374,"Buy Bosch; target of Rs 19,795: Sharekhan","Sharekhan is bullish on Bosch has recommended buy rating on the stock with a target price of Rs 19,795 in its research report dated February 15, 2023.",BOSCHLTD,Bosch Limited
375,Buy Castrol India; target of Rs 140: Sharekhan,"Sharekhan is bullish on Castrol India has recommended buy rating on the stock with a target price of Rs 140 in its research report dated February 13, 2023.",CASTROLIND,Castrol India Limited
376,Buy Craftsman Automation; target of Rs 3925: Motilal Oswal,"Motilal Oswal is bullish on Craftsman Automation recommended buy rating on the stock with a target price of Rs 3925 in its research report dated March 23, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
377,Buy Coal India; target of Rs 275: Motilal Oswal,"Motilal Oswal is bullish on Coal India recommended buy rating on the stock with a target price of Rs 275 in its research report dated March 24, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
378,"Hot Stocks | Bet on Aditya Birla Capital, Varun Beverages, Strides Pharma Science for short term","Varun Beverages has retested the falling trend line on the daily chart before going higher. On the higher end, the index has found resistance at the 14DMA (Rs 1,334.65) during the day#39;s trade on March 22.",VBL,Varun Beverages Limited
379,"Trade Spotlight | What#39;s your strategy for Manappuram Finance, Torrent Power, Emami today?","Torrent Power shares rallied 5 percent to Rs 511, after downtrend from Rs 550 on March 17 till Rs 487 on March 27. The stock has formed robust bullish candlestick pattern on the daily scale with above average volumes. In a single day rally, it clawed back abo…",ANDHRSUGAR,The Andhra Sugars Limited
380,"Trade Spotlight | Your strategy for Adani Green Energy, Swan Energy, JBM Auto today","Adani Green Energy was locked in 5 percent upper circuit for eighth consecutive session after taking support at around Rs 439 on February 28. The stock closed at Rs 682.7, rising 55 percent in last eight sessions in a row, and the volume on last Friday was ab…",ANDHRSUGAR,The Andhra Sugars Limited
383,"Trade Spotlight | How to trade in Glenmark Pharma, PNB Housing Finance, Triveni Engineering today","PNB Housing Finance has formed long bearish candlestick pattern on the daily scale after breaking down bearish Flag and Pole pattern, generally indicating may be more weakness going ahead. Further it has decisively fallen below 200-day EMA (Rs 481) as well, t…",HDFC,Housing Development Finance Corporation Limited
388,NTPC shares rise 2% as Morgan Stanley sees 14% upside,Morgan Stanley has an overweight rating on shares of NTPC with a target price of Rs 198.,NTPC,NTPC Limited
389,"Bajaj Finance assets growth to slow down, says Ambit Capital, starts #39;sell#39; rating","One potential solution for Bajaj Finance could be to obtain a banking license, said Ambit Capital, but this would likely result in a compression of RoE to around 15 percent",BAJAJ-AUTO,Bajaj Auto Limited
390,"Trade Spotlight | What should you do with Manappuram Finance, CCL Products, RITES today?","RITES was also in action, rising 5.7 percent to Rs 371 and formed strong bullish candle on the daily timeframe with above average volumes. The stock held above all key moving averages since the breaking out of long downward sloping resistance trendline adjoin…",ANDHRSUGAR,The Andhra Sugars Limited
391,"Hot Stocks | Coromandel International, NTPC, Oil India may fetch up to 15% return in short term","Primary trend of OIl India is bullish as it has been trading above its 50, 100 and 200-day EMA. For last couple of weeks, stock is consolidating in the narrow range with lower volumes.",IMPAL,India Motor Parts and Accessories Limited
393,"Trade Spotlight | How you should trade in CSB Bank, HDFC AMC, HDFC Life today","HDFC AMC shares rallied 5 percent, the biggest single day gains August 16 last year, to close at Rs 1,764 and formed long bullish candle on the daily charts with above average volumes.",HDFCBANK,HDFC Bank Limited
394,UTI Asset Management shares surge 5% after PPFAS MF block deal,The jump in share price was also supported by strong volumes.,ANDHRSUGAR,The Andhra Sugars Limited
396,Emami approves Rs 186-crore buyback plan at Rs 450 a share,The buyback price of Rs 450 a share is over 23 percent higher than the last closing price,ANDHRSUGAR,The Andhra Sugars Limited
398,"MRPL shares gain 7%, trade in the green for fifth straight session","On March 9, MRPL signed an agreement with Indian Institute of Chemical Technology (IICT) for collaborative research",IMFA,Indian Metals & Ferro Alloys Limited
400,Trading in times of correction: Top 10 ideas from experts for next 3-4 weeks,"The 17,300 level is expected to act as a crucial support, followed by the recent swing low of 17,250 and, if the said levels get broken, then there could be correction up to the 17,000 mark",ANDHRSUGAR,The Andhra Sugars Limited
403,Buy Marico; target of Rs 645: Sharekhan Here,"Sharekhan is bullish on Marico has recommended buy rating on the stock with a target price of Rs 645 in its research report dated March 01, 2023.",MARICO,Marico Limited
404,Buy NTPC; target of Rs 200: Sharekhan,"Sharekhan is bullish on NTPC has recommended buy rating on the stock with a target price of Rs 200 in its research report dated March 01, 2023.",NTPC,NTPC Limited
405,Buy Blue Star; target of Rs 1655: Sharekhan,"Sharekhan is bullish on Axis Bank has recommended buy rating on the stock with a target price of Rs 1655 in its research report dated March 02, 2023.",AXISBANK,Axis Bank Limited
407,Buy Grasim Industries; target of Rs 1900: Sharekhan,"Sharekhan is bullish on Grasim Industries has recommended buy rating on the stock with a target price of Rs 1900 in its research report dated February 14, 2023.",GRASIM,Grasim Industries Limited
408,Buy Tech Mahindra; target of Rs 1220: Sharekhan,"Sharekhan is bullish on Tech Mahindra has recommended buy rating on the stock with a target price of Rs 1220 in its research report dated March 03, 2023.",M&M,Mahindra & Mahindra Limited
409,Buy PVR; target of Rs 1800: Sharekhan,"Sharekhan is bullish on PVR has recommended buy rating on the stock with a target price of Rs 1800 in its research report dated March 14, 2023.",PVR,PVR Limited
410,"Patanjali to bring another FPO for Patanjali Foods; to start process from April, says Baba Ramdev","Stock exchanges NSE and BSE have frozen the shares of promoters of Baba Ramdev-led Patanjali Group firm Patanjali Foods, which is a major edible oil player.",BSE,BSE Limited
411,Buy TCS; target of Rs 3810: Motilal Oswal,"Motilal Oswal is bullish on TCS recommended buy rating on the stock with a target price of Rs 3810 in its research report dated March 17, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
412,Buy Jyothy Labs; target of Rs 240: Sharekhan,"Sharekhan is bullish on Jyothy Labs has recommended buy rating on the stock with a target price of Rs 240 in its research report dated March 17, 2023.",JYOTHYLAB,Jyothy Labs Limited
413,Buy IndusInd Bank; target of Rs 1450: Motilal Oswal,"Motilal Oswal is bullish on IndusInd Bank recommended buy rating on the stock with a target price of Rs 1450 in its research report dated March 12, 2023.",BANKBARODA,Bank of Baroda
414,Buy Vedant Fashions; target of Rs 1400: Motilal Oswal,"Motilal Oswal is bullish on Vedant Fashions recommended buy rating on the stock with a target price of Rs 1400 in its research report dated March 30, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
417,Buy Suprajit Engineering; target of Rs 403: Sharekhan,"Sharekhan is bullish on Suprajit Engineering has recommended buy rating on the stock with a target price of Rs 403 in its research report dated February 15, 2023.",SUPRAJIT,Suprajit Engineering Limited
418,"Brokerages neutral on Tech M, negative on Infy, but investors cheer Mohit Joshiâs move",Brokerages believe Tech Mahindra stock can re-rate marginally in the near-term but a structural re-rating can happen only over medium term,M&M,Mahindra & Mahindra Limited
419,Buy PI Industries; target of Rs 4200: Sharekhan,"Sharekhan is bullish on PI Industries has recommended buy rating on the stock with a target price of Rs 4200 in its research report dated February 15, 2023.",PIIND,PI Industries Limited
420,"Buy Abbott India; target of Rs 25,243: Sharekhan","Sharekhan is bullish on Abbott India has recommended buy rating on the stock with a target price of Rs 25,243 in its research report dated March 13, 2023.",ABBOTINDIA,Abbott India Limited
421,"JSW Steel is adding capacity at right time to ride strong demand, says Motilal Oswal",Motilal Oswal Financial Services has maintained its âneutralâ rating on JSW Steel stock with a target price of Rs 710.,BINDALAGRO,Oswal Chemicals & Fertilizers Limited
422,Promoters offload Rs 825 crore shares in Kirloskar Oil,"Kirloskar Oil Engines have seen several block deals on March 8, which resulted into the stock closing the session with 20 percent upper circuit at Rs 390",20MICRONS,20 Microns Limited
423,Buy Gujarat Gas; target of Rs 560: Sharekhan,"Sharekhan is bullish on Gujarat Gas has recommended buy rating on the stock with a target price of Rs 560 in its research report dated February 13, 2023.",GAEL,Gujarat Ambuja Exports Limited
424,Buy Grasim; target of Rs 1900: Motilal Oswal,"Motilal Oswal is bullish on Grasim recommended buy rating on the stock with a target price of Rs 1900 in its research report dated March 08, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
426,Buy CEAT; target of Rs 1860: Motilal Oswal,"Motilal Oswal is bullish on CEAT recommended buy rating on the stock with a target price of Rs 1860 in its research report dated February 28, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
427,Buy KNR Constructions; target of Rs 310: Sharekhan,"Sharekhan is bullish on KNR Constructions has recommended buy rating on the stock with a target price of Rs 310 in its research report dated February 10, 2023.",KNRCON,KNR Constructions Limited
428,Buy Torrent Pharmaceuticals; target of Rs 1788: Sharekhan,"Sharekhan is bullish on Torrent Pharmaceuticals has recommended buy rating on the stock with a target price of Rs 1788 in its research report dated March 16, 2023.",TORNTPHARM,Torrent Pharmaceuticals Limited
429,Buy PVR; target of Rs 2096: Prabhudas Lilladher,"Prabhudas Lilladher is bullish on PVR has recommended buy rating on the stock with a target price of Rs 2096 in its research report dated March 14, 2023.",PVR,PVR Limited
431,"Hot Stocks | Action Construction Equipment, JK Lakshmi Cement, Shivalik Bimetal Controls can return 11-15% in short term, here#39;s why",The ratio charts of JK Lakshmi Cement against benchmark Index Nifty is rising which illustrates the clear outperformance of the stock.,ANDHRSUGAR,The Andhra Sugars Limited
432,"Buy Abbott India; target of Rs 25,243: Sharekhan","Sharekhan is bullish on Abbott India has recommended buy rating on the stock with a target price of Rs 25,243 in its research report dated February 10, 2023.",ABBOTINDIA,Abbott India Limited
433,Buy Axis Bank; target of Rs 1130: Motilal Oswal,"Motilal Oswal is bullish on Axis Bank recommended buy rating on the stock with a target price of Rs 1130 in its research report dated March 01, 2023.",AXISBANK,Axis Bank Limited
434,Buy Thermax; target of Rs 2790: Sharekhan,"Sharekhan is bullish on Thermax has recommended buy rating on the stock with a target price of Rs 2790 in its research report dated February 13, 2023.",THERMAX,Thermax Limited
435,Buy Federal Bank; target of Rs 165: ICICI Direct,"ICICI Direct is bullish on Federal Bank recommended buy rating on the stock with a target price of Rs 165 in its research report dated March 02, 2023.",BANKBARODA,Bank of Baroda
436,Buy KSB; target of Rs 2390: ICICI Direct,"ICICI Direct is bullish on KSB recommended buy rating on the stock with a target price of Rs 2390 in its research report dated March 01, 2023.",ICICIBANK,ICICI Bank Limited
437,Buy NMDC; target of Rs 145: Sharekhan,"Sharekhan is bullish on NMDC has recommended buy rating on the stock with a target price of Rs 145 in its research report dated February 15, 2023.",NMDC,NMDC Limited
438,Buy Supreme Industries; target of Rs 3000: Sharekhan,"Sharekhan is bullish on Supreme Industries has recommended buy rating on the stock with a target price of Rs 3000 in its research report dated March 21, 2023.",SUPREMEIND,Supreme Industries Limited
439,Women#39;s Day Special | Woman experts on Dalal Street line up top 12 trading ideas,Oberoi Realty seems to be breaking out from a bullish Inverse Head and Shoulders pattern which emerged following a corrective move. The stock has crossed above the 200-DMA (daily moving average) which stands at Rs 876 and this DMA was almost acting as a proxy…,ANDHRSUGAR,The Andhra Sugars Limited
440,"Trade Spotlight | Your strategy for Cyient, GE Shipping, Aurobindo Pharma today",Great Eastern Shipping Company shares rose nearly 4 percent to Rs 624 and formed long bullish candlestick pattern on the daily timeframe with above average volumes.,EASTSILK,Eastern Silk Industries Limited
442,Bajaj Electricals shares gain on bagging order worth Rs 564 crore,"The company#39;s engineering and procurement segment had an order book of approximately Rs 1,200 crore in Q3.",ANDHRSUGAR,The Andhra Sugars Limited
443,Buy Punjab National Bank; target of Rs 64: Sharekhan,"Sharekhan is bullish on Punjab National Bank has recommended buy rating on the stock with a target price of Rs 64 in its research report dated March 09, 2023.",BANKBARODA,Bank of Baroda
444,HAL tanks 6% as govt sets OFS floor price at 7% discount,"The stake sale would be valued at Rs 2,867 crore, and the government has set a floor price of Rs 2,450 apiece, which is at a 6.6 percent discount from the previous close.",ANDHRSUGAR,The Andhra Sugars Limited
445,"Trade Spotlight | JSW Energy, JBM Auto, Zensar Technologies: Your game plan for today","JSW Energy surged nearly 13 percent to Rs 235, the highest closing level since February 9, and formed large bullish candle on the daily charts, with strong volumes after taking support at Rs 205 in previous session.",ENERGYDEV,Energy Development Company Limited
446,"Trade Spotlight | How should you trade in EIH, Mahindra CIE Automotive, NMDC today?","NMDC has also formed bullish candle with long upper shadow on the daily scale, indicating a bit of profit booking at higher levels. The stock closed with 1.7 percent gains at Rs 116.4, with above average volumes. It has been making higher highs higher lows fo…",ANDHRSUGAR,The Andhra Sugars Limited
447,"Trade Spotlight | Set your game for Jindal Stainless, Swan Energy, Mahanagar Gas today","Mahanagar Gas was the star performer, rising nearly 9 percent to Rs 986 and formed robust bullish candle on the daily charts with significantly higher volumes. The stock has been making higher highs higher lows formation for fifth consecutive session, with tr…",ANDHRSUGAR,The Andhra Sugars Limited
448,Buy Federal Bank; target of Rs 170: Motilal Oswal,"Motilal Oswal is bullish on Federal Bank recommended buy rating on the stock with a target price of Rs 170 in its research report dated February 28, 2023.",BANKBARODA,Bank of Baroda
449,Buy Aurobindo Pharma; target of Rs 554: Geojit,"Geojit is bullish on Aurobindo Pharma has recommended buy rating on the stock with a target price of Rs 554 in its research report dated March 02, 2023.",AUROPHARMA,Aurobindo Pharma Limited
450,Buy Finolex Cables; target of Rs 660: Sharekhan,"Sharekhan is bullish on Finolex Cables has recommended buy rating on the stock with a target price of Rs 660 in its research report dated February 13, 2023.",FINCABLES,Finolex Cables Limited
451,Buy Tata Motors; target of Rs 540: Motilal Oswal,"Motilal Oswal is bullish on Tata Motors recommended buy rating on the stock with a target price of Rs 540 in its research report dated March 15, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
452,Buy PNC Infratech; target of Rs 390: Sharekhan,"Sharekhan is bullish on PNC Infratech has recommended buy rating on the stock with a target price of Rs 390 in its research report dated March 10, 2023.",PNCINFRA,PNC Infratech Limited
453,Buy Vinati organics; target of Rs 2148: Geojit,"Geojit is bullish on Vinati organics has recommended buy rating on the stock with a target price of Rs 2148 in its research report dated March 22, 2023.",GEOJITFSL,Geojit Financial Services Limited
454,Buy Eicher Motors; target of Rs 3625: Motilal Oswal,"Motilal Oswal is bullish on Eicher Motors recommended buy rating on the stock with a target price of Rs 3625 in its research report dated March 23, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
455,Buy Bata India; target of Rs 1775: Sharekhan,"Sharekhan is bullish on Bata India has recommended buy rating on the stock with a target price of Rs 1775 in its research report dated February 15, 2023.",BATAINDIA,Bata India Limited
456,Buy NOCIL; target of Rs 275: Sharekhan,"Sharekhan is bullish on NOCIL has recommended buy rating on the stock with a target price of Rs 275 in its research report dated February 10, 2023.",NOCIL,NOCIL Limited
457,Buy Grasim Industries; target of Rs 1900: Sharekhan,"Sharekhan is bullish on Grasim Industries has recommended buy rating on the stock with a target price of Rs 1900 in its research report dated March 08, 2023.",GRASIM,Grasim Industries Limited
458,Buy Cipla; target of Rs 1070: Prabhudas Lilladher,"Prabhudas Lilladher is bullish on Cipla has recommended buy rating on the stock with a target price of Rs 1070 in its research report dated March 01, 2023.",CIPLA,Cipla Limited
459,Buy Federal Bank; target of Rs 170: Sharekhan,"Sharekhan is bullish on Federal Bank has recommended buy rating on the stock with a target price of Rs 170 in its research report dated February 28, 2023.",BANKBARODA,Bank of Baroda
460,Buy Alicon Castalloy; target of Rs 1159: Sharekhan,"Sharekhan is bullish on Alicon Castalloy has recommended buy rating on the stock with a target price of Rs 1159 in its research report dated February 13, 2023.",ALICON,Alicon Castalloy Limited
461,Buy Godrej Consumer; target of Rs 1080: Motilal Oswal,"Motilal Oswal is bullish on Godrej Consumer recommended buy rating on the stock with a target price of Rs 1080 in its research report dated March 03, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
462,Buy Thermax; target of Rs 2790: Sharekhan,"Sharekhan is bullish on Thermax has recommended buy rating on the stock with a target price of Rs 2790 in its research report dated March 20, 2023.",THERMAX,Thermax Limited
463,Buy LT Foods; target of Rs 120: Geojit,"Geojit is bullish on LT Foods has recommended buy rating on the stock with a target price of Rs 120 in its research report dated March 21, 2023.",DAAWAT,LT Foods Limited
464,Buy TTK Prestige; target of Rs 857: Geojit,"Geojit is bullish on TTK Prestige has recommended buy rating on the stock with a target price of Rs 857 in its research report dated March 22, 2023.",GEOJITFSL,Geojit Financial Services Limited
465,Buy GAIL; target of Rs 147: Motilal Oswal,"Motilal Oswal is bullish on GAIL recommended buy rating on the stock with a target price of Rs 147 in its research report dated March 22, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
466,"Kalyan Jewellers sheds most in 13 weeks after block deal, but analysts see glittering returns","As per Bloomberg, the company has 6 buy calls, zero hold and zero sell calls. The 12-month consensus target price on the stock is Rs 156.50",ANDHRSUGAR,The Andhra Sugars Limited
467,Buy GAIL; target of Rs 147: Motilal Oswal,"Motilal Oswal is bullish on GAIL recommended buy rating on the stock with a target price of Rs 147 in its research report dated March 26, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
470,Buy Tata Chemicals; target of Rs 1197: Geojit,"Geojit is bullish on Tata Chemicals has recommended buy rating on the stock with a target price of Rs 1197 in its research report dated March 06, 2023.",GEOJITFSL,Geojit Financial Services Limited
471,Buy Vesuvius India; target of Rs 1935: ICICI Direct,"ICICI Direct is bullish on Vesuvius India recommended buy rating on the stock with a target price of Rs 1935 in its research report dated March 01, 2023.",ICICIBANK,ICICI Bank Limited
472,Buy Axis Bank; target of Rs 1100: ICICI Direct,"ICICI Direct is bullish on Axis Bank recommended buy rating on the stock with a target price of Rs 1100 in its research report dated March 02, 2023.",AXISBANK,Axis Bank Limited
473,"Buy Bosch; target of Rs 20,970: ICICI Direct","ICICI Direct is bullish on Bosch recommended buy rating on the stock with a target price of Rs 20,970 in its research report dated March 13, 2023.",BOSCHLTD,Bosch Limited
474,"Buy Bosch; target of Rs 19,795: Sharekhan","Sharekhan is bullish on Bosch has recommended buy rating on the stock with a target price of Rs 19,795 in its research report dated February 15, 2023.",BOSCHLTD,Bosch Limited
475,Buy Castrol India; target of Rs 140: Sharekhan,"Sharekhan is bullish on Castrol India has recommended buy rating on the stock with a target price of Rs 140 in its research report dated February 13, 2023.",CASTROLIND,Castrol India Limited
476,Buy Craftsman Automation; target of Rs 3925: Motilal Oswal,"Motilal Oswal is bullish on Craftsman Automation recommended buy rating on the stock with a target price of Rs 3925 in its research report dated March 23, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
